collector_number,name,mana_cost,cmc,type_line,rarity,colors,color_identity,oracle_text,power,toughness,loyalty,keywords,set_name,released_at,scryfall_uri
11,Avatar Enthusiasts,{2}{W},3.0,Creature — Human Peasant Ally,common,W,W,"Whenever another Ally you control enters, put a +1/+1 counter on this creature.",2,2,,,Avatar: The Last Airbender,2025-11-21,https://scryfall.com/card/tla/11/avatar-enthusiasts?utm_source=api
12,Avatar's Wrath,{2}{W}{W},4.0,Sorcery,rare,W,W,"Choose up to one target creature, then airbend all other creatures. (Exile them. While each one is exiled, its owner may cast it for {2} rather than its mana cost.)
Until your next turn, your opponents can't cast spells from anywhere other than their hands.
Exile Avatar's Wrath.",,,,Airbend,Avatar: The Last Airbender,2025-11-21,https://scryfall.com/card/tla/12/avatars-wrath?utm_source=api
13,Compassionate Healer,{1}{W},2.0,Creature — Human Cleric Ally,common,W,W,"Whenever this creature becomes tapped, you gain 1 life and scry 1. (Look at the top card of your library. You may put it on the bottom.)",2,2,,Scry,Avatar: The Last Airbender,2025-11-21,https://scryfall.com/card/tla/13/compassionate-healer?utm_source=api
14,Curious Farm Animals,{W},1.0,Creature — Boar Elk Bird Ox,common,W,W,"When this creature dies, you gain 3 life.
{2}, Sacrifice this creature: Destroy up to one target artifact or enchantment.",1,1,,,Avatar: The Last Airbender,2025-11-21,https://scryfall.com/card/tla/14/curious-farm-animals?utm_source=api
15,Destined Confrontation,{2}{W}{W},4.0,Sorcery,uncommon,W,W,"Each player chooses any number of creatures they control with total power 4 or less, then sacrifices all other creatures they control.",,,,,Avatar: The Last Airbender,2025-11-21,https://scryfall.com/card/tla/15/destined-confrontation?utm_source=api
16,Earth Kingdom Jailer,{2}{W},3.0,Creature — Human Soldier Ally,uncommon,W,W,"When this creature enters, exile up to one target artifact, creature, or enchantment an opponent controls with mana value 3 or greater until this creature leaves the battlefield.",3,3,,,Avatar: The Last Airbender,2025-11-21,https://scryfall.com/card/tla/16/earth-kingdom-jailer?utm_source=api
17,Earth Kingdom Protectors,{W},1.0,Creature — Human Soldier Ally,uncommon,W,W,"Vigilance
Sacrifice this creature: Another target Ally you control gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)",1,1,,Vigilance,Avatar: The Last Airbender,2025-11-21,https://scryfall.com/card/tla/17/earth-kingdom-protectors?utm_source=api
18,Enter the Avatar State,{W},1.0,Instant — Lesson,uncommon,W,W,"Until end of turn, target creature you control becomes an Avatar in addition to its other types and gains flying, first strike, lifelink, and hexproof. (A creature with hexproof can't be the target of spells or abilities your opponents control.)",,,,"Lifelink, First strike",Avatar: The Last Airbender,2025-11-21,https://scryfall.com/card/tla/18/enter-the-avatar-state?utm_source=api
19,Fancy Footwork,{2}{W},3.0,Instant — Lesson,uncommon,W,W,Untap one or two target creatures. They each get +2/+2 until end of turn.,,,,,Avatar: The Last Airbender,2025-11-21,https://scryfall.com/card/tla/19/fancy-footwork?utm_source=api
20,Gather the White Lotus,{4}{W},5.0,Sorcery,uncommon,W,W,"Create a 1/1 white Ally creature token for each Plains you control. Scry 2. (Look at the top two cards of your library, then put any number of them on the bottom and the rest on top in any order.)",,,,Scry,Avatar: The Last Airbender,2025-11-21,https://scryfall.com/card/tla/20/gather-the-white-lotus?utm_source=api
21,Glider Kids,{2}{W},3.0,Creature — Human Pilot Ally,common,W,W,"Flying
When this creature enters, scry 1. (Look at the top card of your library. You may put it on the bottom.)",2,3,,"Scry, Flying",Avatar: The Last Airbender,2025-11-21,https://scryfall.com/card/tla/21/glider-kids?utm_source=api
22,Glider Staff,{2}{W},3.0,Artifact — Equipment,uncommon,W,W,"When this Equipment enters, airbend up to one target creature. (Exile it. While it's exiled, its owner may cast it for {2} rather than its mana cost.)
Equipped creature gets +1/+1 and has flying.
Equip {2}",,,,"Airbend, Equip",Avatar: The Last Airbender,2025-11-21,https://scryfall.com/card/tla/22/glider-staff?utm_source=api
23,"Hakoda, Selfless Commander",{3}{W},4.0,Legendary Creature — Human Warrior Ally,rare,W,W,"Vigilance
You may look at the top card of your library any time.
You may cast Ally spells from the top of your library.
Sacrifice Hakoda: Creatures you control get +0/+5 and gain indestructible until end of turn.",3,5,,Vigilance,Avatar: The Last Airbender,2025-11-21,https://scryfall.com/card/tla/23/hakoda-selfless-commander?utm_source=api
24,Invasion Reinforcements,{1}{W},2.0,Creature — Human Warrior Ally,uncommon,W,W,"Flash
When this creature enters, create a 1/1 white Ally creature token.",1,1,,Flash,Avatar: The Last Airbender,2025-11-21,https://scryfall.com/card/tla/24/invasion-reinforcements?utm_source=api
25,Jeong Jeong's Deserters,{1}{W},2.0,Creature — Human Rebel Ally,common,W,W,"When this creature enters, put a +1/+1 counter on target creature.",1,2,,,Avatar: The Last Airbender,2025-11-21,https://scryfall.com/card/tla/25/jeong-jeongs-deserters?utm_source=api
26,Kyoshi Warriors,{3}{W},4.0,Creature — Human Warrior Ally,common,W,W,"When this creature enters, create a 1/1 white Ally creature token.",3,3,,,Avatar: The Last Airbender,2025-11-21,https://scryfall.com/card/tla/26/kyoshi-warriors?utm_source=api
27,The Legend of Yangchen // Avatar Yangchen,,5.0,Enchantment — Saga // Legendary Creature — Avatar,mythic,,W,,,,,"Flying, Airbend, Transform",Avatar: The Last Airbender,2025-11-21,https://scryfall.com/card/tla/27/the-legend-of-yangchen-avatar-yangchen?utm_source=api
28,Master Piandao,{4}{W},5.0,Legendary Creature — Human Warrior Ally,uncommon,W,W,"First strike
Whenever Master Piandao attacks, look at the top four cards of your library. You may reveal an Ally, Equipment, or Lesson card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.",4,4,,First strike,Avatar: The Last Airbender,2025-11-21,https://scryfall.com/card/tla/28/master-piandao?utm_source=api
29,"Momo, Friendly Flier",{W},1.0,Legendary Creature — Lemur Bat Ally,rare,W,W,"Flying
The first non-Lemur creature spell with flying you cast during each of your turns costs {1} less to cast.
Whenever another creature you control with flying enters, Momo gets +1/+1 until end of turn.",1,1,,Flying,Avatar: The Last Airbender,2025-11-21,https://scryfall.com/card/tla/29/momo-friendly-flier?utm_source=api
30,"Momo, Playful Pet",{W},1.0,Legendary Creature — Lemur Bat Ally,uncommon,W,W,"Flying, vigilance
When Momo leaves the battlefield, choose one —
• Create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this token: You gain 3 life."")
• Put a +1/+1 counter on target creature you control.
• Scry 2.",1,1,,"Scry, Flying, Vigilance, Food",Avatar: The Last Airbender,2025-11-21,https://scryfall.com/card/tla/30/momo-playful-pet?utm_source=api
31,Path to Redemption,{1}{W},2.0,Enchantment — Aura,common,W,W,"Enchant creature
Enchanted creature can't attack or block.
{5}, Sacrifice this Aura: Exile enchanted creature. Create a 1/1 white Ally creature token. Activate only during your turn.",,,,Enchant,Avatar: The Last Airbender,2025-11-21,https://scryfall.com/card/tla/31/path-to-redemption?utm_source=api
32,Rabaroo Troop,{3}{W}{W},5.0,Creature — Rabbit Kangaroo,common,W,W,"Landfall — Whenever a land you control enters, this creature gains flying until end of turn and you gain 1 life.
Plainscycling {2} ({2}, Discard this card: Search your library for a Plains card, reveal it, put it into your hand, then shuffle.)",3,5,,"Plainscycling, Landcycling, Typecycling, Cycling, Landfall",Avatar: The Last Airbender,2025-11-21,https://scryfall.com/card/tla/32/rabaroo-troop?utm_source=api
33,Razor Rings,{1}{W},2.0,Instant,common,W,W,Razor Rings deals 4 damage to target attacking or blocking creature. You gain life equal to the excess damage dealt this way.,,,,,Avatar: The Last Airbender,2025-11-21,https://scryfall.com/card/tla/33/razor-rings?utm_source=api
34,Sandbenders' Storm,{3}{W},4.0,Instant,common,W,W,"Choose one —
• Destroy target creature with power 4 or greater.
• Earthbend 3. (Target land you control becomes a 0/0 creature with haste that's still a land. Put three +1/+1 counters on it. When it dies or is exiled, return it to the battlefield tapped.)",,,,Earthbend,Avatar: The Last Airbender,2025-11-21,https://scryfall.com/card/tla/34/sandbenders-storm?utm_source=api
35,South Pole Voyager,{1}{W},2.0,Creature — Human Scout Ally,rare,W,W,"Whenever this creature or another Ally you control enters, you gain 1 life. If this is the second time this ability has resolved this turn, draw a card.",2,2,,,Avatar: The Last Airbender,2025-11-21,https://scryfall.com/card/tla/35/south-pole-voyager?utm_source=api
36,Southern Air Temple,{3}{W},4.0,Legendary Enchantment — Shrine,uncommon,W,W,"When Southern Air Temple enters, put X +1/+1 counters on each creature you control, where X is the number of Shrines you control.
Whenever another Shrine you control enters, put a +1/+1 counter on each creature you control.",,,,,Avatar: The Last Airbender,2025-11-21,https://scryfall.com/card/tla/36/southern-air-temple?utm_source=api
37,"Suki, Courageous Rescuer",{1}{W}{W},3.0,Legendary Creature — Human Warrior Ally,rare,W,W,"Other creatures you control get +1/+0.
Whenever another permanent you control leaves the battlefield during your turn, create a 1/1 white Ally creature token. This ability triggers only once each turn.",2,4,,,Avatar: The Last Airbender,2025-11-21,https://scryfall.com/card/tla/37/suki-courageous-rescuer?utm_source=api
38,Team Avatar,{2}{W},3.0,Enchantment,uncommon,W,W,"Whenever a creature you control attacks alone, it gets +X/+X until end of turn, where X is the number of creatures you control.
{2}{W}, Discard this card: It deals damage equal to the number of creatures you control to target creature.",,,,,Avatar: The Last Airbender,2025-11-21,https://scryfall.com/card/tla/38/team-avatar?utm_source=api
39,United Front,{X}{W}{W},2.0,Sorcery,mythic,W,W,"Create X 1/1 white Ally creature tokens, then put a +1/+1 counter on each creature you control.",,,,,Avatar: The Last Airbender,2025-11-21,https://scryfall.com/card/tla/39/united-front?utm_source=api
40,Vengeful Villagers,{3}{W},4.0,Creature — Human Citizen,uncommon,W,W,"Whenever this creature attacks, choose target creature an opponent controls. Tap it, then you may sacrifice an artifact or creature. If you do, put a stun counter on the chosen creature. (If a permanent with a stun counter would become untapped, remove one from it instead.)",3,3,,,Avatar: The Last Airbender,2025-11-21,https://scryfall.com/card/tla/40/vengeful-villagers?utm_source=api
41,Water Tribe Captain,{2}{W},3.0,Creature — Human Soldier Ally,common,W,W,{5}: Creatures you control get +1/+1 until end of turn.,3,3,,,Avatar: The Last Airbender,2025-11-21,https://scryfall.com/card/tla/41/water-tribe-captain?utm_source=api
42,Water Tribe Rallier,{1}{W},2.0,Creature — Human Soldier Ally,uncommon,W,W,"Waterbend {5}: Look at the top four cards of your library. You may reveal a creature card with power 3 or less from among them and put it into your hand. Put the rest on the bottom of your library in a random order. (While paying a waterbend cost, you can tap your artifacts and creatures to help. Each one pays for {1}.)",2,2,,Waterbend,Avatar: The Last Airbender,2025-11-21,https://scryfall.com/card/tla/42/water-tribe-rallier?utm_source=api
43,Yip Yip!,{W},1.0,Instant — Lesson,common,W,W,"Target creature you control gets +2/+2 until end of turn. If that creature is an Ally, it also gains flying until end of turn.",,,,,Avatar: The Last Airbender,2025-11-21,https://scryfall.com/card/tla/43/yip-yip!?utm_source=api
44,Accumulate Wisdom,{1}{U},2.0,Instant — Lesson,uncommon,U,U,Look at the top three cards of your library. Put one of those cards into your hand and the rest on the bottom of your library in any order. Put each of those cards into your hand instead if there are three or more Lesson cards in your graveyard.,,,,,Avatar: The Last Airbender,2025-11-21,https://scryfall.com/card/tla/44/accumulate-wisdom?utm_source=api
45,Benevolent River Spirit,{U}{U},2.0,Creature — Spirit,uncommon,U,U,"As an additional cost to cast this spell, waterbend {5}. (While paying a waterbend cost, you can tap your artifacts and creatures to help. Each one pays for {1}.)
Flying, ward {2} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {2}.)
When this creature enters, scry 2.",4,5,,"Scry, Flying, Ward, Waterbend",Avatar: The Last Airbender,2025-11-21,https://scryfall.com/card/tla/45/benevolent-river-spirit?utm_source=api
46,Boomerang Basics,{U},1.0,Sorcery — Lesson,uncommon,U,U,"Return target nonland permanent to its owner's hand. If you controlled that permanent, draw a card.",,,,,Avatar: The Last Airbender,2025-11-21,https://scryfall.com/card/tla/46/boomerang-basics?utm_source=api
47,Crashing Wave,{U}{U},2.0,Sorcery,uncommon,U,U,"As an additional cost to cast this spell, waterbend {X}. (While paying a waterbend cost, you can tap your artifacts and creatures to help. Each one pays for {1}.)
Tap up to X target creatures, then distribute three stun counters among any number of tapped creatures your opponents control. (If a permanent with a stun counter would become untapped, remove one from it instead.)",,,,Waterbend,Avatar: The Last Airbender,2025-11-21,https://scryfall.com/card/tla/47/crashing-wave?utm_source=api
48,Ember Island Production,{3}{U}{U},5.0,Sorcery,uncommon,U,U,"Choose one —
• Create a token that's a copy of target creature you control, except it's not legendary and it's a 4/4 Hero in addition to its other types.
• Create a token that's a copy of target creature an opponent controls, except it's not legendary and it's a 2/2 Coward in addition to its other types.",,,,,Avatar: The Last Airbender,2025-11-21,https://scryfall.com/card/tla/48/ember-island-production?utm_source=api
49,First-Time Flyer,{1}{U},2.0,Creature — Human Pilot Ally,common,U,U,"Flying
This creature gets +1/+1 as long as there's a Lesson card in your graveyard.",1,2,,Flying,Avatar: The Last Airbender,2025-11-21,https://scryfall.com/card/tla/49/first-time-flyer?utm_source=api
50,Flexible Waterbender,{3}{U},4.0,Creature — Human Warrior Ally,common,U,U,"Vigilance
Waterbend {3}: This creature has base power and toughness 5/2 until end of turn. (While paying a waterbend cost, you can tap your artifacts and creatures to help. Each one pays for {1}.)",2,5,,"Vigilance, Waterbend",Avatar: The Last Airbender,2025-11-21,https://scryfall.com/card/tla/50/flexible-waterbender?utm_source=api
51,Forecasting Fortune Teller,{1}{U},2.0,Creature — Human Advisor Ally,common,U,U,"When this creature enters, create a Clue token. (It's an artifact with ""{2}, Sacrifice this token: Draw a card."")",1,3,,,Avatar: The Last Airbender,2025-11-21,https://scryfall.com/card/tla/51/forecasting-fortune-teller?utm_source=api
52,Geyser Leaper,{4}{U},5.0,Creature — Human Warrior Ally,common,U,U,"Flying
Waterbend {4}: Draw a card, then discard a card. (While paying a waterbend cost, you can tap your artifacts and creatures to help. Each one pays for {1}.)",4,3,,"Flying, Waterbend",Avatar: The Last Airbender,2025-11-21,https://scryfall.com/card/tla/52/geyser-leaper?utm_source=api
53,Giant Koi,{4}{U}{U},6.0,Creature — Fish,common,U,U,"Waterbend {3}: This creature can't be blocked this turn. (While paying a waterbend cost, you can tap your artifacts and creatures to help. Each one pays for {1}.)
Islandcycling {2} ({2}, Discard this card: Search your library for an Island card, reveal it, put it into your hand, then shuffle.)",5,7,,"Islandcycling, Landcycling, Typecycling, Waterbend, Cycling",Avatar: The Last Airbender,2025-11-21,https://scryfall.com/card/tla/53/giant-koi?utm_source=api
54,Gran-Gran,{U},1.0,Legendary Creature — Human Peasant Ally,uncommon,U,U,"Whenever Gran-Gran becomes tapped, draw a card, then discard a card.
Noncreature spells you cast cost {1} less to cast as long as there are three or more Lesson cards in your graveyard.",1,2,,,Avatar: The Last Airbender,2025-11-21,https://scryfall.com/card/tla/54/gran-gran?utm_source=api
55,Honest Work,{U},1.0,Enchantment — Aura,uncommon,U,U,"Enchant creature an opponent controls
When this Aura enters, tap enchanted creature and remove all counters from it.
Enchanted creature loses all abilities and is a Citizen with base power and toughness 1/1 and ""{T}: Add {C}"" named Humble Merchant. (It loses all other creature types and names.)",,,,Enchant,Avatar: The Last Airbender,2025-11-21,https://scryfall.com/card/tla/55/honest-work?utm_source=api
56,Iguana Parrot,{2}{U},3.0,Creature — Lizard Bird Pirate,common,U,U,"Flying, vigilance
Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)",2,2,,"Flying, Prowess, Vigilance",Avatar: The Last Airbender,2025-11-21,https://scryfall.com/card/tla/56/iguana-parrot?utm_source=api
57,Invasion Submersible,{2}{U},3.0,Artifact — Vehicle,uncommon,U,U,"When this Vehicle enters, return up to one other target nonland permanent to its owner's hand.
Exhaust — Waterbend {3}: This Vehicle becomes an artifact creature. Put three +1/+1 counters on it. (While paying a waterbend cost, you can tap your artifacts and creatures to help. Each one pays for {1}. Activate each exhaust ability only once.)",0,0,,"Exhaust, Waterbend",Avatar: The Last Airbender,2025-11-21,https://scryfall.com/card/tla/57/invasion-submersible?utm_source=api
58,It'll Quench Ya!,{1}{U},2.0,Instant — Lesson,common,U,U,Counter target spell unless its controller pays {2}.,,,,,Avatar: The Last Airbender,2025-11-21,https://scryfall.com/card/tla/58/itll-quench-ya!?utm_source=api
59,"Katara, Bending Prodigy",{2}{U},3.0,Legendary Creature — Human Warrior Ally,uncommon,U,U,"At the beginning of your end step, if Katara is tapped, put a +1/+1 counter on her.
Waterbend {6}: Draw a card. (While paying a waterbend cost, you can tap your artifacts and creatures to help. Each one pays for {1}.)",2,3,,Waterbend,Avatar: The Last Airbender,2025-11-21,https://scryfall.com/card/tla/59/katara-bending-prodigy?utm_source=api
60,Knowledge Seeker,{1}{U},2.0,Creature — Fox Spirit,uncommon,U,U,"Vigilance
Whenever you draw your second card each turn, put a +1/+1 counter on this creature.
When this creature dies, create a Clue token. (It's an artifact with ""{2}, Sacrifice this token: Draw a card."")",2,1,,Vigilance,Avatar: The Last Airbender,2025-11-21,https://scryfall.com/card/tla/60/knowledge-seeker?utm_source=api
61,The Legend of Kuruk // Avatar Kuruk,,4.0,Enchantment — Saga // Legendary Creature — Avatar,mythic,,U,,,,,"Transform, Exhaust, Waterbend, Scry",Avatar: The Last Airbender,2025-11-21,https://scryfall.com/card/tla/61/the-legend-of-kuruk-avatar-kuruk?utm_source=api
62,Lost Days,{4}{U},5.0,Instant — Lesson,common,U,U,"The owner of target creature or enchantment puts it into their library second from the top or on the bottom. You create a Clue token. (It's an artifact with ""{2}, Sacrifice this token: Draw a card."")",,,,,Avatar: The Last Airbender,2025-11-21,https://scryfall.com/card/tla/62/lost-days?utm_source=api
63,Master Pakku,{1}{U},2.0,Legendary Creature — Human Advisor Ally,uncommon,U,U,"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)
Whenever Master Pakku becomes tapped, target player mills X cards, where X is the number of Lesson cards in your graveyard. (They put the top X cards of their library into their graveyard.)",1,3,,"Prowess, Mill",Avatar: The Last Airbender,2025-11-21,https://scryfall.com/card/tla/63/master-pakku?utm_source=api
64,"The Mechanist, Aerial Artisan",{2}{U},3.0,Legendary Creature — Human Artificer Ally,rare,U,U,"Whenever you cast a noncreature spell, create a Clue token. (It's an artifact with ""{2}, Sacrifice this token: Draw a card."")
{T}: Until end of turn, target artifact token you control becomes a 3/1 Construct artifact creature with flying.",1,3,,,Avatar: The Last Airbender,2025-11-21,https://scryfall.com/card/tla/64/the-mechanist-aerial-artisan?utm_source=api
65,North Pole Patrol,{2}{U},3.0,Creature — Human Soldier Ally,uncommon,U,U,"{T}: Untap another target permanent you control.
Waterbend {3}, {T}: Tap target creature an opponent controls. (While paying a waterbend cost, you can tap your artifacts and creatures to help. Each one pays for {1}.)",2,3,,Waterbend,Avatar: The Last Airbender,2025-11-21,https://scryfall.com/card/tla/65/north-pole-patrol?utm_source=api
66,Octopus Form,{U},1.0,Instant — Lesson,common,U,U,Target creature you control gets +1/+1 and gains hexproof until end of turn. Untap it. (It can't be the target of spells or abilities your opponents control.),,,,,Avatar: The Last Airbender,2025-11-21,https://scryfall.com/card/tla/66/octopus-form?utm_source=api
67,Otter-Penguin,{1}{U},2.0,Creature — Otter Bird,common,U,U,"Whenever you draw your second card each turn, this creature gets +1/+2 until end of turn and can't be blocked this turn.",2,1,,,Avatar: The Last Airbender,2025-11-21,https://scryfall.com/card/tla/67/otter-penguin?utm_source=api
68,Rowdy Snowballers,{2}{U},3.0,Creature — Human Peasant Ally,common,U,U,"When this creature enters, tap target creature an opponent controls and put a stun counter on it. (If a permanent with a stun counter would become untapped, remove one from it instead.)",2,2,,,Avatar: The Last Airbender,2025-11-21,https://scryfall.com/card/tla/68/rowdy-snowballers?utm_source=api
69,Secret of Bloodbending,{U}{U}{U}{U},4.0,Sorcery — Lesson,mythic,U,U,"As an additional cost to cast this spell, you may waterbend {10}.
You control target opponent during their next combat phase. If this spell's additional cost was paid, you control that player during their next turn instead. (You see all cards that player could see and make all decisions for them.)
Exile Secret of Bloodbending.",,,,Waterbend,Avatar: The Last Airbender,2025-11-21,https://scryfall.com/card/tla/69/secret-of-bloodbending?utm_source=api
70,Serpent of the Pass,{5}{U}{U},7.0,Creature — Serpent,uncommon,U,U,"If there are three or more Lesson cards in your graveyard, you may cast this spell as though it had flash.
This spell costs {1} less to cast for each noncreature, nonland card in your graveyard.",6,5,,,Avatar: The Last Airbender,2025-11-21,https://scryfall.com/card/tla/70/serpent-of-the-pass?utm_source=api
71,Sokka's Haiku,{3}{U}{U},5.0,Instant — Lesson,uncommon,U,U,"Counter target spell.
Draw a card, then mill three cards.
Untap target land.",,,,Mill,Avatar: The Last Airbender,2025-11-21,https://scryfall.com/card/tla/71/sokkas-haiku?utm_source=api
72,The Spirit Oasis,{2}{U},3.0,Legendary Enchantment — Shrine,uncommon,U,U,"When The Spirit Oasis enters, draw a card for each Shrine you control.
Whenever another Shrine you control enters, draw a card.",,,,,Avatar: The Last Airbender,2025-11-21,https://scryfall.com/card/tla/72/the-spirit-oasis?utm_source=api
73,Spirit Water Revival,{1}{U}{U},3.0,Sorcery,rare,U,U,"As an additional cost to cast this spell, you may waterbend {6}. (While paying a waterbend cost, you can tap your artifacts and creatures to help. Each one pays for {1}.)
Draw two cards. If this spell's additional cost was paid, instead shuffle your graveyard into your library, draw seven cards, and you have no maximum hand size for the rest of the game.
Exile Spirit Water Revival.",,,,Waterbend,Avatar: The Last Airbender,2025-11-21,https://scryfall.com/card/tla/73/spirit-water-revival?utm_source=api
74,"Teo, Spirited Glider",{3}{U},4.0,Legendary Creature — Human Pilot Ally,uncommon,U,U,"Flying
Whenever one or more creatures you control with flying attack, draw a card, then discard a card. When you discard a nonland card this way, put a +1/+1 counter on target creature you control.",1,4,,Flying,Avatar: The Last Airbender,2025-11-21,https://scryfall.com/card/tla/74/teo-spirited-glider?utm_source=api
75,Tiger-Seal,{U},1.0,Creature — Cat Seal,rare,U,U,"Vigilance
At the beginning of your upkeep, tap this creature.
Whenever you draw your second card each turn, untap this creature.",3,3,,Vigilance,Avatar: The Last Airbender,2025-11-21,https://scryfall.com/card/tla/75/tiger-seal?utm_source=api
76,"Ty Lee, Chi Blocker",{2}{U},3.0,Legendary Creature — Human Performer Ally,rare,U,U,"Flash
Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)
When Ty Lee enters, tap up to one target creature. It doesn't untap during its controller's untap step for as long as you control Ty Lee.",2,1,,"Prowess, Flash",Avatar: The Last Airbender,2025-11-21,https://scryfall.com/card/tla/76/ty-lee-chi-blocker?utm_source=api
77,The Unagi of Kyoshi Island,{3}{U}{U},5.0,Legendary Creature — Serpent,rare,U,U,"Flash
Ward—Waterbend {4}. (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {4}. They can tap their artifacts and creatures to help. Each one pays for {1}.)
Whenever an opponent draws their second card each turn, you draw two cards.",5,5,,"Ward, Flash, Waterbend",Avatar: The Last Airbender,2025-11-21,https://scryfall.com/card/tla/77/the-unagi-of-kyoshi-island?utm_source=api
78,"Wan Shi Tong, Librarian",{X}{U}{U},2.0,Legendary Creature — Bird Spirit,mythic,U,U,"Flash
Flying, vigilance
When Wan Shi Tong enters, put X +1/+1 counters on him. Then draw half X cards, rounded down.
Whenever an opponent searches their library, put a +1/+1 counter on Wan Shi Tong and draw a card.",1,1,,"Flying, Vigilance, Flash",Avatar: The Last Airbender,2025-11-21,https://scryfall.com/card/tla/78/wan-shi-tong-librarian?utm_source=api
79,Waterbender Ascension,{1}{U},2.0,Enchantment,rare,U,U,"Whenever a creature you control deals combat damage to a player, put a quest counter on this enchantment. Then if it has four or more quest counters on it, draw a card.
Waterbend {4}: Target creature can't be blocked this turn. (While paying a waterbend cost, you can tap your artifacts and creatures to help. Each one pays for {1}.)",,,,Waterbend,Avatar: The Last Airbender,2025-11-21,https://scryfall.com/card/tla/79/waterbender-ascension?utm_source=api
