collector_number,name,mana_cost,cmc,type_line,rarity,colors,color_identity,oracle_text,power,toughness,loyalty,keywords,set_name,released_at,scryfall_uri
11,Crib Swap,{2}{W},3.0,Kindred Instant — Shapeshifter,uncommon,W,W,"Changeling (This card is every creature type.)
Exile target creature. Its controller creates a 1/1 colorless Shapeshifter creature token with changeling.",,,,Changeling,Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/11/crib-swap?utm_source=api
12,Curious Colossus,{5}{W}{W},7.0,Creature — Giant Warrior,mythic,W,W,"When this creature enters, each creature target opponent controls loses all abilities, becomes a Coward in addition to its other types, and has base power and toughness 1/1.",7,7,,,Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/12/curious-colossus?utm_source=api
13,"Eirdu, Carrier of Dawn // Isilu, Carrier of Twilight",,5.0,Legendary Creature — Elemental God // Legendary Creature — Elemental God,mythic,,"B, W",,,,,"Flying, Lifelink, Transform",Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/13/eirdu-carrier-of-dawn-isilu-carrier-of-twilight?utm_source=api
14,Encumbered Reejerey,{1}{W},2.0,Creature — Merfolk Soldier,uncommon,W,W,"This creature enters with three -1/-1 counters on it.
Whenever this creature becomes tapped while it has a -1/-1 counter on it, remove a -1/-1 counter from it.",5,4,,,Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/14/encumbered-reejerey?utm_source=api
15,Evershrike's Gift,{W},1.0,Enchantment — Aura,uncommon,W,W,"Enchant creature
Enchanted creature gets +1/+0 and has flying.
{1}{W}, Blight 2: Return this card from your graveyard to your hand. Activate only as a sorcery. (To blight 2, put two -1/-1 counters on a creature you control.)",,,,"Blight, Enchant",Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/15/evershrikes-gift?utm_source=api
16,Flock Impostor,{2}{W},3.0,Creature — Shapeshifter,uncommon,W,W,"Changeling (This card is every creature type.)
Flash
Flying
When this creature enters, return up to one other target creature you control to its owner's hand.",2,2,,"Changeling, Flying, Flash",Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/16/flock-impostor?utm_source=api
17,Gallant Fowlknight,{3}{W},4.0,Creature — Kithkin Knight,common,W,W,"When this creature enters, creatures you control get +1/+0 until end of turn. Kithkin creatures you control also gain first strike until end of turn.",3,4,,,Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/17/gallant-fowlknight?utm_source=api
18,Goldmeadow Nomad,{W},1.0,Creature — Kithkin Scout,common,W,W,"{W}, Exile this card from your graveyard: Create a 1/1 green and white Kithkin creature token. Activate only as a sorcery.",1,2,,,Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/18/goldmeadow-nomad?utm_source=api
19,Keep Out,{1}{W},2.0,Instant,common,W,W,"Choose one —
• Keep Out deals 4 damage to target tapped creature.
• Destroy target enchantment.",,,,,Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/19/keep-out?utm_source=api
20,Kinbinding,{3}{W}{W},5.0,Enchantment,rare,W,W,"Creatures you control get +X/+X, where X is the number of creatures that entered the battlefield under your control this turn.
At the beginning of combat on your turn, create a 1/1 green and white Kithkin creature token.",,,,,Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/20/kinbinding?utm_source=api
21,Kinsbaile Aspirant,{W},1.0,Creature — Kithkin Citizen,uncommon,W,W,"As an additional cost to cast this spell, behold a Kithkin or pay {2}. (To behold a Kithkin, choose a Kithkin you control or reveal a Kithkin card from your hand.)
Whenever another creature you control enters, this creature gets +1/+1 until end of turn.",2,1,,Behold,Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/21/kinsbaile-aspirant?utm_source=api
22,Kinscaer Sentry,{1}{W},2.0,Creature — Kithkin Soldier,rare,W,W,"First strike, lifelink
Whenever this creature attacks, you may put a creature card with mana value X or less from your hand onto the battlefield tapped and attacking, where X is the number of attacking creatures you control.",2,2,,"Lifelink, First strike",Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/22/kinscaer-sentry?utm_source=api
23,Kithkeeper,{6}{W},7.0,Creature — Elemental,uncommon,W,W,"Vivid — When this creature enters, create X 1/1 green and white Kithkin creature tokens, where X is the number of colors among permanents you control.
Tap three untapped creatures you control: This creature gets +3/+0 and gains flying until end of turn.",3,3,,Vivid,Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/23/kithkeeper?utm_source=api
24,Liminal Hold,{3}{W},4.0,Enchantment,common,W,W,"When this enchantment enters, exile up to one target nonland permanent an opponent controls until this enchantment leaves the battlefield. You gain 2 life.",,,,,Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/24/liminal-hold?utm_source=api
25,Meanders Guide,{2}{W},3.0,Creature — Merfolk Scout,uncommon,W,W,"Whenever this creature attacks, you may tap another untapped Merfolk you control. When you do, return target creature card with mana value 3 or less from your graveyard to the battlefield.",3,2,,,Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/25/meanders-guide?utm_source=api
26,Moonlit Lamenter,{2}{W},3.0,Creature — Treefolk Cleric,uncommon,W,W,"This creature enters with a -1/-1 counter on it.
{1}{W}, Remove a counter from this creature: Draw a card. Activate only as a sorcery.",2,5,,,Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/26/moonlit-lamenter?utm_source=api
27,Morningtide's Light,{3}{W},4.0,Sorcery,mythic,W,W,"Exile any number of target creatures. At the beginning of the next end step, return those cards to the battlefield tapped under their owners' control.
Until your next turn, prevent all damage that would be dealt to you.
Exile Morningtide's Light.",,,,,Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/27/morningtides-light?utm_source=api
28,Personify,{1}{W},2.0,Instant,uncommon,W,W,"Exile target creature you control, then return that card to the battlefield under its owner's control. Create a 1/1 colorless Shapeshifter creature token with changeling. (It's every creature type.)",,,,,Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/28/personify?utm_source=api
29,Protective Response,{2}{W},3.0,Instant,uncommon,W,W,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Destroy target attacking or blocking creature.",,,,Convoke,Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/29/protective-response?utm_source=api
30,Pyrrhic Strike,{2}{W},3.0,Instant,uncommon,W,W,"As an additional cost to cast this spell, you may blight 2. (You may put two -1/-1 counters on a creature you control.)
Choose one. If this spell's additional cost was paid, choose both instead.
• Destroy target artifact or enchantment.
• Destroy target creature with mana value 3 or greater.",,,,Blight,Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/30/pyrrhic-strike?utm_source=api
31,Reluctant Dounguard,{2}{W},3.0,Creature — Kithkin Soldier,common,W,W,"This creature enters with two -1/-1 counters on it.
Whenever another creature you control enters while this creature has a -1/-1 counter on it, remove a -1/-1 counter from this creature.",4,4,,,Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/31/reluctant-dounguard?utm_source=api
32,"Rhys, the Evermore",{1}{W},2.0,Legendary Creature — Elf Warrior,rare,W,W,"Flash
When Rhys enters, another target creature you control gains persist until end of turn. (When it dies, if it had no -1/-1 counters on it, return it to the battlefield under its owner's control with a -1/-1 counter on it.)
{W}, {T}: Remove any number of counters from target creature you control. Activate only as a sorcery.",2,2,,Flash,Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/32/rhys-the-evermore?utm_source=api
33,Riverguard's Reflexes,{1}{W},2.0,Instant,common,W,W,Target creature gets +2/+2 and gains first strike until end of turn. Untap it.,,,,,Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/33/riverguards-reflexes?utm_source=api
34,Shore Lurker,{3}{W},4.0,Creature — Merfolk Scout,common,W,W,"Flying
When this creature enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)",3,3,,"Flying, Surveil",Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/34/shore-lurker?utm_source=api
35,Slumbering Walker,{3}{W}{W},5.0,Creature — Giant Warrior,rare,W,W,"This creature enters with two -1/-1 counters on it.
At the beginning of your end step, you may remove a counter from this creature. When you do, return target creature card with power 2 or less from your graveyard to the battlefield.",4,7,,,Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/35/slumbering-walker?utm_source=api
36,Spiral into Solitude,{1}{W},2.0,Enchantment — Aura,common,W,W,"Enchant creature
Enchanted creature can't attack or block.
{1}{W}, Blight 1, Sacrifice this Aura: Exile enchanted creature. (To blight 1, put a -1/-1 counter on a creature you control.)",,,,"Blight, Enchant",Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/36/spiral-into-solitude?utm_source=api
37,Sun-Dappled Celebrant,{4}{W}{W},6.0,Creature — Treefolk Cleric,common,W,W,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Vigilance",5,6,,"Vigilance, Convoke",Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/37/sun-dappled-celebrant?utm_source=api
38,Thoughtweft Imbuer,{3}{W},4.0,Creature — Kithkin Advisor,uncommon,W,W,"Whenever a creature you control attacks alone, it gets +X/+X until end of turn, where X is the number of Kithkin you control.",0,5,,,Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/38/thoughtweft-imbuer?utm_source=api
39,Timid Shieldbearer,{1}{W},2.0,Creature — Kithkin Soldier,common,W,W,{4}{W}: Creatures you control get +1/+1 until end of turn.,2,2,,,Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/39/timid-shieldbearer?utm_source=api
40,Tributary Vaulter,{2}{W},3.0,Creature — Merfolk Warrior,common,W,W,"Flying
Whenever this creature becomes tapped, another target Merfolk you control gets +2/+0 until end of turn.",1,3,,Flying,Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/40/tributary-vaulter?utm_source=api
41,Wanderbrine Preacher,{1}{W},2.0,Creature — Merfolk Cleric,common,W,W,"Whenever this creature becomes tapped, you gain 2 life.",2,2,,,Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/41/wanderbrine-preacher?utm_source=api
42,Wanderbrine Trapper,{W},1.0,Creature — Merfolk Scout,uncommon,W,W,"{1}, {T}, Tap another untapped creature you control: Tap target creature an opponent controls.",2,1,,,Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/42/wanderbrine-trapper?utm_source=api
43,Winnowing,{4}{W}{W},6.0,Sorcery,rare,W,W,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
For each player, you choose a creature that player controls. Then each player sacrifices all other creatures they control that don't share a creature type with the chosen creature they control.",,,,Convoke,Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/43/winnowing?utm_source=api
44,Aquitect's Defenses,{1}{U},2.0,Enchantment — Aura,common,U,U,"Flash
Enchant creature you control
When this Aura enters, enchanted creature gains hexproof until end of turn. (It can't be the target of spells or abilities your opponents control.)
Enchanted creature gets +1/+2.",,,,"Enchant, Flash",Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/44/aquitects-defenses?utm_source=api
45,Blossombind,{1}{U},2.0,Enchantment — Aura,common,U,U,"Enchant creature
When this Aura enters, tap enchanted creature.
Enchanted creature can't become untapped and can't have counters put on it.",,,,Enchant,Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/45/blossombind?utm_source=api
46,Champions of the Shoal,{3}{U},4.0,Creature — Merfolk Soldier,rare,U,U,"As an additional cost to cast this spell, behold a Merfolk and exile it. (Exile a Merfolk you control or a Merfolk card from your hand.)
Whenever this creature enters or becomes tapped, tap up to one target creature and put a stun counter on it.
When this creature leaves the battlefield, return the exiled card to its owner's hand.",4,6,,Behold,Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/46/champions-of-the-shoal?utm_source=api
47,Disruptor of Currents,{3}{U}{U},5.0,Creature — Merfolk Wizard,rare,U,U,"Flash
Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
When this creature enters, return up to one other target nonland permanent to its owner's hand.",3,3,,"Flash, Convoke",Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/47/disruptor-of-currents?utm_source=api
48,Flitterwing Nuisance,{U},1.0,Creature — Faerie Rogue,rare,U,U,"Flying
This creature enters with a -1/-1 counter on it.
{2}{U}, Remove a counter from this creature: Whenever a creature you control deals combat damage to a player or planeswalker this turn, draw a card.",2,2,,Flying,Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/48/flitterwing-nuisance?utm_source=api
49,Glamer Gifter,{1}{U},2.0,Creature — Faerie Wizard,uncommon,U,U,"Flash
Flying
When this creature enters, choose up to one other target creature. Until end of turn, that creature has base power and toughness 4/4 and gains all creature types.",1,2,,"Flying, Flash",Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/49/glamer-gifter?utm_source=api
50,Glamermite,{2}{U},3.0,Creature — Faerie Rogue,common,U,U,"Flash
Flying
When this creature enters, choose one —
• Tap target creature.
• Untap target creature.",2,2,,"Flying, Flash",Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/50/glamermite?utm_source=api
51,Glen Elendra Guardian,{2}{U},3.0,Creature — Faerie Wizard,rare,U,U,"Flash
Flying
This creature enters with a -1/-1 counter on it.
{1}{U}, Remove a counter from this creature: Counter target noncreature spell. Its controller draws a card.",3,4,,"Flying, Flash",Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/51/glen-elendra-guardian?utm_source=api
52,Glen Elendra's Answer,{2}{U}{U},4.0,Instant,mythic,U,U,"This spell can't be countered.
Counter all spells your opponents control and all abilities your opponents control. Create a 1/1 blue and black Faerie creature token with flying for each spell and ability countered this way.",,,,,Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/52/glen-elendras-answer?utm_source=api
53,Gravelgill Scoundrel,{1}{U},2.0,Creature — Merfolk Rogue,common,U,U,"Vigilance
Whenever this creature attacks, you may tap another untapped creature you control. If you do, this creature can't be blocked this turn.",1,3,,Vigilance,Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/53/gravelgill-scoundrel?utm_source=api
54,Harmonized Crescendo,{4}{U}{U},6.0,Instant,rare,U,U,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Choose a creature type. Draw a card for each permanent you control of that type.",,,,Convoke,Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/54/harmonized-crescendo?utm_source=api
55,Illusion Spinners,{4}{U},5.0,Creature — Faerie Wizard,uncommon,U,U,"You may cast this spell as though it had flash if you control a Faerie.
Flying
This creature has hexproof as long as it's untapped. (It can't be the target of spells or abilities your opponents control.)",4,3,,Flying,Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/55/illusion-spinners?utm_source=api
56,Kulrath Mystic,{2}{U},3.0,Creature — Elemental Wizard,common,U,U,"Whenever you cast a spell with mana value 4 or greater, this creature gets +2/+0 and gains vigilance until end of turn.",2,4,,,Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/56/kulrath-mystic?utm_source=api
57,Loch Mare,{1}{U},2.0,Creature — Horse Serpent,mythic,U,U,"This creature enters with three -1/-1 counters on it.
{1}{U}, Remove a counter from this creature: Draw a card.
{2}{U}, Remove two counters from this creature: Tap target creature. Put a stun counter on it. (If a permanent with a stun counter would become untapped, remove one from it instead.)",4,5,,,Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/57/loch-mare?utm_source=api
58,Lofty Dreams,{3}{U}{U},5.0,Enchantment — Aura,uncommon,U,U,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Enchant creature
When this Aura enters, draw a card.
Enchanted creature gets +2/+2 and has flying.",,,,"Enchant, Convoke",Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/58/lofty-dreams?utm_source=api
59,Mirrorform,{4}{U}{U},6.0,Instant,mythic,U,U,Each nonland permanent you control becomes a copy of target non-Aura permanent.,,,,,Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/59/mirrorform?utm_source=api
60,Noggle the Mind,{1}{U},2.0,Enchantment — Aura,uncommon,U,U,"Flash
Enchant creature
Enchanted creature loses all abilities and is a colorless Noggle with base power and toughness 1/1. (It loses all colors and all other creature types.)",,,,"Enchant, Flash",Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/60/noggle-the-mind?utm_source=api
61,"Oko, Lorwyn Liege // Oko, Shadowmoor Scion",,3.0,Legendary Planeswalker — Oko // Legendary Planeswalker — Oko,mythic,,"G, U",,,,,"Transform, Mill",Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/61/oko-lorwyn-liege-oko-shadowmoor-scion?utm_source=api
62,Omni-Changeling,{3}{U}{U},5.0,Creature — Shapeshifter,uncommon,U,U,"Changeling (This card is every creature type.)
Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
You may have this creature enter as a copy of any creature on the battlefield, except it has changeling.",0,0,,"Convoke, Changeling",Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/62/omni-changeling?utm_source=api
63,Pestered Wellguard,{3}{U},4.0,Creature — Merfolk Soldier,uncommon,U,U,"Whenever this creature becomes tapped, create a 1/1 blue and black Faerie creature token with flying.",3,2,,,Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/63/pestered-wellguard?utm_source=api
64,Rime Chill,{6}{U},7.0,Instant,uncommon,U,U,"Vivid — This spell costs {1} less to cast for each color among permanents you control.
Tap up to two target creatures. Put a stun counter on each of them. (If a permanent with a stun counter would become untapped, remove one from it instead.)
Draw a card.",,,,Vivid,Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/64/rime-chill?utm_source=api
65,Rimefire Torque,{1}{U},2.0,Artifact,rare,U,U,"As this artifact enters, choose a creature type.
Whenever a permanent you control of the chosen type enters, put a charge counter on this artifact.
{T}, Remove three charge counters from this artifact: When you next cast an instant or sorcery spell this turn, copy it. You may choose new targets for the copy.",,,,,Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/65/rimefire-torque?utm_source=api
66,Rimekin Recluse,{2}{U},3.0,Creature — Elemental Wizard,uncommon,U,U,"When this creature enters, return up to one other target creature to its owner's hand.",3,2,,,Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/66/rimekin-recluse?utm_source=api
67,Run Away Together,{1}{U},2.0,Instant,common,U,U,Choose two target creatures controlled by different players. Return those creatures to their owners' hands.,,,,,Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/67/run-away-together?utm_source=api
68,Shinestriker,{4}{U}{U},6.0,Creature — Elemental,uncommon,U,U,"Flying
Vivid — When this creature enters, draw cards equal to the number of colors among permanents you control.",3,3,,"Flying, Vivid",Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/68/shinestriker?utm_source=api
69,Silvergill Mentor,{1}{U},2.0,Creature — Merfolk Wizard,uncommon,U,U,"As an additional cost to cast this spell, behold a Merfolk or pay {2}. (To behold a Merfolk, choose a Merfolk you control or reveal a Merfolk card from your hand.)
When this creature enters, create a 1/1 white and blue Merfolk creature token.",2,1,,Behold,Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/69/silvergill-mentor?utm_source=api
70,Silvergill Peddler,{2}{U},3.0,Creature — Merfolk Citizen,common,U,U,"Whenever this creature becomes tapped, draw a card, then discard a card.",2,3,,,Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/70/silvergill-peddler?utm_source=api
71,Spell Snare,{U},1.0,Instant,uncommon,U,U,Counter target spell with mana value 2.,,,,,Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/71/spell-snare?utm_source=api
72,Stratosoarer,{4}{U},5.0,Creature — Elemental,common,U,U,"Flying
When this creature enters, target creature gains flying until end of turn.
Basic landcycling {1}{U} ({1}{U}, Discard this card: Search your library for a basic land card, reveal it, put it into your hand, then shuffle.)",3,5,,"Flying, Landcycling, Basic landcycling, Typecycling, Cycling",Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/72/stratosoarer?utm_source=api
73,Summit Sentinel,{1}{U},2.0,Creature — Elemental Soldier,common,U,U,"When this creature dies, draw a card.",1,3,,,Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/73/summit-sentinel?utm_source=api
74,Sunderflock,{7}{U}{U},9.0,Creature — Elemental,rare,U,U,"This spell costs {X} less to cast, where X is the greatest mana value among Elementals you control.
Flying
When this creature enters, if you cast it, return all non-Elemental creatures to their owners' hands.",5,5,,Flying,Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/74/sunderflock?utm_source=api
75,Swat Away,{2}{U}{U},4.0,Instant,uncommon,U,U,"This spell costs {2} less to cast if a creature is attacking you.
The owner of target spell or creature puts it on their choice of the top or bottom of their library.",,,,,Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/75/swat-away?utm_source=api
76,"Sygg, Wanderwine Wisdom // Sygg, Wanderbrine Shield",,2.0,Legendary Creature — Merfolk Wizard // Legendary Creature — Merfolk Rogue,rare,,"U, W",,,,,Transform,Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/76/sygg-wanderwine-wisdom-sygg-wanderbrine-shield?utm_source=api
77,Tanufel Rimespeaker,{3}{U},4.0,Creature — Elemental Wizard,uncommon,U,U,"Whenever you cast a spell with mana value 4 or greater, draw a card.",2,4,,,Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/77/tanufel-rimespeaker?utm_source=api
78,Temporal Cleansing,{3}{U},4.0,Sorcery,common,U,U,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
The owner of target nonland permanent puts it into their library second from the top or on the bottom.",,,,Convoke,Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/78/temporal-cleansing?utm_source=api
79,Thirst for Identity,{2}{U},3.0,Instant,uncommon,U,U,Draw three cards. Then discard two cards unless you discard a creature card.,,,,,Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/79/thirst-for-identity?utm_source=api
80,Unexpected Assistance,{3}{U}{U},5.0,Instant,common,U,U,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Draw three cards, then discard a card.",,,,Convoke,Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/80/unexpected-assistance?utm_source=api
81,Unwelcome Sprite,{1}{U},2.0,Creature — Faerie Rogue,uncommon,U,U,"Flying
Whenever you cast a spell during an opponent's turn, surveil 2. (Look at the top two cards of your library. You may put any number of them into your graveyard and the rest on top of your library in any order.)",2,1,,"Flying, Surveil",Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/81/unwelcome-sprite?utm_source=api
82,Wanderwine Distracter,{3}{U},4.0,Creature — Merfolk Wizard,common,U,U,"Whenever this creature becomes tapped, target creature an opponent controls gets -3/-0 until end of turn.",4,3,,,Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/82/wanderwine-distracter?utm_source=api
83,Wanderwine Farewell,{5}{U}{U},7.0,Kindred Sorcery — Merfolk,uncommon,U,U,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Return one or two target nonland permanents to their owners' hands. Then if you control a Merfolk, create a 1/1 white and blue Merfolk creature token for each permanent returned to its owner's hand this way.",,,,Convoke,Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/83/wanderwine-farewell?utm_source=api
84,Wild Unraveling,{U}{U},2.0,Instant,common,U,U,"As an additional cost to cast this spell, blight 2 or pay {1}. (To blight 2, put two -1/-1 counters on a creature you control.)
Counter target spell.",,,,Blight,Lorwyn Eclipsed,2026-01-23,https://scryfall.com/card/ecl/84/wild-unraveling?utm_source=api
